Dataset, #TrainingReleases, Classifier, Feature, TruePositive, FalsePositive, TrueNegative, FalseNegative, Cost, Precision, Recall, AUC, Kappa, FMeasure
SYNCOPE,14,NAIVE_BAYES,UNDERSAMPLING,32,64,532,61,0.0,0.3333333333333333,0.34408602150537637,0.7323915710471242,0.23352467405330832,0.3386243386243386
SYNCOPE,14,NAIVE_BAYES,SMOTE,37,70,526,56,0.0,0.34579439252336447,0.3978494623655914,0.7418903803131991,0.26365163107092565,0.37
SYNCOPE,14,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,32,63,533,61,673.0,0.3368421052631579,0.34408602150537637,0.6191906617593996,0.23623750692817916,0.3404255319148936
SYNCOPE,15,NAIVE_BAYES,NONE,8,80,623,11,0.0,0.09090909090909091,0.42105263157894735,0.7797409597963615,0.11105398457583532,0.14953271028037382
SYNCOPE,15,NAIVE_BAYES,BESTFIRST,7,18,685,12,0.0,0.28,0.3684210526315789,0.850415512465374,0.2971639950678174,0.3181818181818182
SYNCOPE,15,NAIVE_BAYES,GREEDYSTEPWISE,7,18,685,12,0.0,0.28,0.3684210526315789,0.850415512465374,0.2971639950678174,0.3181818181818182
SYNCOPE,15,NAIVE_BAYES,OVERSAMPLING,8,80,623,11,0.0,0.09090909090909091,0.42105263157894735,0.7797409597963615,0.11105398457583532,0.14953271028037382
SYNCOPE,15,NAIVE_BAYES,UNDERSAMPLING,9,102,601,10,0.0,0.08108108108108109,0.47368421052631576,0.7779067155798458,0.0979228486646889,0.13846153846153847
SYNCOPE,15,NAIVE_BAYES,SMOTE,9,107,596,10,0.0,0.07758620689655173,0.47368421052631576,0.7807516657932171,0.09228256431196412,0.13333333333333333
SYNCOPE,15,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,9,93,610,10,193.0,0.08823529411764706,0.47368421052631576,0.670697012802276,0.10923987255348225,0.14876033057851243
SYNCOPE,16,NAIVE_BAYES,NONE,8,7,663,46,0.0,0.5333333333333333,0.14814814814814814,0.7664593698175788,0.20614035087719285,0.2318840579710145
SYNCOPE,16,NAIVE_BAYES,BESTFIRST,10,19,651,44,0.0,0.3448275862068966,0.18518518518518517,0.7663626312880044,0.1992275280898876,0.24096385542168677
SYNCOPE,16,NAIVE_BAYES,GREEDYSTEPWISE,10,19,651,44,0.0,0.3448275862068966,0.18518518518518517,0.7663626312880044,0.1992275280898876,0.24096385542168677
SYNCOPE,16,NAIVE_BAYES,OVERSAMPLING,7,6,664,47,0.0,0.5384615384615384,0.12962962962962962,0.766334991708126,0.1853770380434785,0.208955223880597
SYNCOPE,16,NAIVE_BAYES,UNDERSAMPLING,9,11,659,45,0.0,0.45,0.16666666666666666,0.7660585959093422,0.2114516881904463,0.24324324324324323
SYNCOPE,16,NAIVE_BAYES,SMOTE,10,13,657,44,0.0,0.43478260869565216,0.18518518518518517,0.7672885572139303,0.22521778311805388,0.2597402597402597
SYNCOPE,16,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,9,11,659,45,461.0,0.45,0.16666666666666666,0.5751243781094527,0.2114516881904463,0.24324324324324323
SYNCOPE,17,NAIVE_BAYES,NONE,6,84,683,14,0.0,0.06666666666666667,0.3,0.7933181225554107,0.07043509702301995,0.1090909090909091
SYNCOPE,17,NAIVE_BAYES,BESTFIRST,5,40,727,15,0.0,0.1111111111111111,0.25,0.8203389830508474,0.12298652618782242,0.15384615384615383
SYNCOPE,17,NAIVE_BAYES,GREEDYSTEPWISE,5,40,727,15,0.0,0.1111111111111111,0.25,0.8203389830508474,0.12298652618782242,0.15384615384615383
SYNCOPE,17,NAIVE_BAYES,OVERSAMPLING,6,85,682,14,0.0,0.06593406593406594,0.3,0.7897327249022165,0.06932881015803183,0.10810810810810811
SYNCOPE,17,NAIVE_BAYES,UNDERSAMPLING,7,93,674,13,0.0,0.07,0.35,0.7891786179921774,0.07759840778416643,0.11666666666666668
SYNCOPE,17,NAIVE_BAYES,SMOTE,7,98,669,13,0.0,0.06666666666666667,0.35,0.7898956975228162,0.07239713299708006,0.112
SYNCOPE,17,NAIVE_BAYES,COST_SENSITIVE_CLASSIFIER,7,94,673,13,224.0,0.06930693069306931,0.35,0.613722294654498,0.0765240659304506,0.11570247933884298
SYNCOPE,18,NAIVE_BAYES,NONE,5,70,583,12,0.0,0.06666666666666667,0.29411764705882354,0.79335195027475,0.07023184972076446,0.10869565217391304
SYNCOPE,18,NAIVE_BAYES,BESTFIRST,4,23,630,13,0.0,0.14814814814814814,0.23529411764705882,0.8220881001711557,0.15552132203627245,0.1818181818181818
