Index,Class,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_Churn,AVG_Holiday,Buggy
2,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,48,0,0,0,0,0,0,0,0,0.0,27.0,NO
2,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,162,0,0,0,0,0,0,0,0,0.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,150,68,2,6,2,63,58,58,53,29.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,169,6,2,12,2,5,4,4,4,2.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BKStats.java,236,236,1,0,1,236,236,236,236,236.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,150,59,2,6,1,26,25,-7,0,-3.5,27.0,YES
2,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,129,8,1,6,1,7,7,6,6,6.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,481,70,2,6,1,62,50,54,42,27.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,529,22,4,0,1,9,5,-4,0,-1.0,27.0,YES
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/HandleFactoryImpl.java,66,82,2,0,1,74,69,66,69,33.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,72,8,1,0,1,8,8,8,8,8.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,132,6,1,6,1,4,4,2,2,2.0,27.0,NO
2,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,32,2,1,6,1,1,1,0,0,0.0,27.0,NO
2,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Cookie.java,196,208,2,6,1,202,195,196,195,98.0,27.0,YES
