LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,AVG_Churn,AVG_Holiday,Buggy
221,235,3,0,2,228,221,221,221,73.666664,0.0,NO
131,131,1,0,1,131,131,131,131,131.0,0.0,NO
121,135,2,0,1,128,109,121,109,60.5,0.0,NO
657,697,2,0,2,677,650,657,650,328.5,0.0,NO
28,28,1,0,1,28,28,28,28,28.0,0.0,NO
47,47,1,0,1,47,47,47,47,47.0,0.0,NO
31,31,1,0,1,31,31,31,31,31.0,0.0,NO
401,401,1,0,1,401,401,401,401,401.0,0.0,NO
71,71,1,0,1,71,71,71,71,71.0,0.0,NO
39,51,2,0,2,45,37,39,37,19.5,0.0,NO
82,82,1,0,1,82,82,82,82,82.0,0.0,NO
38,38,1,0,1,38,38,38,38,38.0,0.0,NO
705,757,3,0,2,731,711,705,711,235.0,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
91,91,1,0,1,91,91,91,91,91.0,0.0,NO
60,76,3,0,2,68,54,60,54,20.0,0.0,NO
107,107,1,0,1,107,107,107,107,107.0,0.0,NO
72,118,3,0,2,95,64,72,64,24.0,0.0,NO
122,150,3,0,2,136,123,122,123,40.666668,0.0,NO
206,214,2,0,2,210,198,206,198,103.0,0.0,NO
51,51,1,0,1,51,51,51,51,51.0,0.0,NO
27,27,1,0,1,27,27,27,27,27.0,0.0,NO
169,169,2,0,2,169,141,169,141,84.5,0.0,NO
30,30,1,0,1,30,30,30,30,30.0,0.0,NO
47,47,1,0,1,47,47,47,47,47.0,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,NO
73,73,1,0,1,73,73,73,73,73.0,0.0,NO
31,31,1,0,1,31,31,31,31,31.0,0.0,NO
44,44,1,0,1,44,44,44,44,44.0,0.0,NO
214,214,1,0,1,214,214,214,214,214.0,0.0,NO
41,41,1,0,1,41,41,41,41,41.0,0.0,NO
115,115,1,0,1,115,115,115,115,115.0,0.0,NO
244,244,1,0,1,244,244,244,244,244.0,0.0,NO
149,149,1,0,1,149,149,149,149,149.0,0.0,NO
153,153,1,0,1,153,153,153,153,153.0,0.0,NO
90,90,1,0,1,90,90,90,90,90.0,0.0,NO
93,93,1,0,1,93,93,93,93,93.0,0.0,NO
43,43,1,0,1,43,43,43,43,43.0,0.0,NO
42,42,1,0,1,42,42,42,42,42.0,0.0,NO
78,78,1,0,1,78,78,78,78,78.0,0.0,NO
82,82,1,0,1,82,82,82,82,82.0,0.0,NO
139,143,2,0,2,141,139,139,139,69.5,0.0,NO
48,48,1,0,1,48,48,48,48,48.0,0.0,NO
174,174,1,0,1,174,174,174,174,174.0,0.0,NO
155,221,3,0,2,188,170,155,170,51.666668,0.0,NO
88,94,2,0,1,91,88,88,88,44.0,0.0,NO
282,282,1,0,1,282,282,282,282,282.0,0.0,NO
42,52,2,0,1,47,39,42,39,21.0,0.0,NO
90,90,1,0,1,90,90,90,90,90.0,0.0,NO
36,36,1,0,1,36,36,36,36,36.0,0.0,NO
139,141,2,0,2,140,140,139,140,69.5,0.0,NO
104,104,1,0,1,104,104,104,104,104.0,0.0,NO
84,84,1,0,1,84,84,84,84,84.0,0.0,NO
48,48,1,0,1,48,48,48,48,48.0,0.0,NO
89,89,1,0,1,89,89,89,89,89.0,0.0,NO
34,34,1,0,1,34,34,34,34,34.0,0.0,NO
65,65,1,0,1,65,65,65,65,65.0,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,NO
75,75,1,0,1,75,75,75,75,75.0,0.0,NO
34,44,2,0,2,39,39,34,39,17.0,0.0,NO
35,35,1,0,1,35,35,35,35,35.0,0.0,NO
19,20,1,0,1,20,20,20,20,20.0,0.0,NO
34,34,1,0,1,34,34,34,34,34.0,0.0,NO
138,138,1,0,1,138,138,138,138,138.0,0.0,NO
168,168,2,0,2,168,165,168,165,84.0,0.0,NO
119,119,1,0,1,119,119,119,119,119.0,0.0,NO
213,213,1,0,1,213,213,213,213,213.0,0.0,NO
183,207,2,0,1,195,188,183,188,91.5,0.0,NO
19,20,1,0,1,20,20,20,20,20.0,0.0,NO
34,34,1,0,1,34,34,34,34,34.0,0.0,NO
143,143,1,0,1,143,143,143,143,143.0,0.0,NO
62,62,1,0,1,62,62,62,62,62.0,0.0,NO
80,92,2,0,2,86,73,80,73,40.0,0.0,NO
176,176,1,0,1,176,176,176,176,176.0,0.0,NO
75,75,1,0,1,75,75,75,75,75.0,0.0,NO
32,32,1,0,1,32,32,32,32,32.0,0.0,NO
70,76,2,0,2,73,66,70,66,35.0,0.0,NO
53,53,1,0,1,53,53,53,53,53.0,0.0,NO
184,184,1,0,1,184,184,184,184,184.0,0.0,NO
70,100,2,0,2,85,64,70,64,35.0,0.0,NO
211,211,1,0,1,211,211,211,211,211.0,0.0,NO
51,51,1,0,1,51,51,51,51,51.0,0.0,NO
235,235,1,0,1,235,235,235,235,235.0,0.0,NO
198,220,2,0,2,209,207,198,207,99.0,0.0,NO
86,86,1,0,1,86,86,86,86,86.0,0.0,NO
263,295,2,0,2,279,263,263,263,131.5,0.0,NO
40,40,1,0,1,40,40,40,40,40.0,0.0,NO
